1 receivedTextFrom 3 1669396694.038337
4 sentTextTo 2 1669396694.058782
2 receivedTextFrom 4 1669396694.060992
4 sentTextTo 2 1669396694.079795
2 receivedTextFrom 4 1669396694.081627
4 sentTextTo 2 1669396694.100821
2 receivedTextFrom 4 1669396694.102732
0 sentTextTo 0 1669396694.123544
0 receivedTextFrom 0 1669396694.1255
0 sentTextTo 0 1669396694.146354
0 receivedTextFrom 0 1669396694.148012
0 sentTextTo 0 1669396694.168813
0 receivedTextFrom 0 1669396694.170496
0 sentTextTo 4 1669396694.19265
4 receivedTextFrom 0 1669396694.194802
0 sentTextTo 4 1669396694.213622
4 receivedTextFrom 0 1669396694.215549
0 sentTextTo 4 1669396694.234653
4 receivedTextFrom 0 1669396694.236885
1 sentTextTo 3 1669396694.257359
3 receivedTextFrom 1 1669396694.259449
1 sentTextTo 3 1669396694.278227
3 receivedTextFrom 1 1669396694.280003
1 sentTextTo 3 1669396694.299073
3 receivedTextFrom 1 1669396694.300903
3 sentTextTo 2 1669396694.319097
2 receivedTextFrom 3 1669396694.32118
3 sentTextTo 2 1669396694.340313
2 receivedTextFrom 3 1669396694.342499
3 sentTextTo 2 1669396694.360669
2 receivedTextFrom 3 1669396694.362508
2 sentTextTo 2 1669396694.382679
2 receivedTextFrom 2 1669396694.384427
2 sentTextTo 2 1669396694.405465
2 receivedTextFrom 2 1669396694.40716
2 sentTextTo 2 1669396694.428334
2 receivedTextFrom 2 1669396694.4303
3 sentTextTo 1 1669396694.449844
1 receivedTextFrom 3 1669396694.451984
3 sentTextTo 1 1669396694.469823
1 receivedTextFrom 3 1669396694.471656
3 sentTextTo 1 1669396694.490896
1 receivedTextFrom 3 1669396694.492763
3 sentTextTo 2 1669396694.513525
2 receivedTextFrom 3 1669396694.516921
3 sentTextTo 2 1669396694.534505
2 receivedTextFrom 3 1669396694.537126
3 sentTextTo 2 1669396694.555651
2 receivedTextFrom 3 1669396694.557497
3 sentTextTo 0 1669396694.578179
0 receivedTextFrom 3 1669396694.580239
3 sentTextTo 0 1669396694.599186
0 receivedTextFrom 3 1669396694.60094
